BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Warehouse,GREATER DUWAMISH,1957,1.0,1,50832,0.0,0.240684,0.759316,0.0,2551022.25,50.20000076,107.16,2.11
NonResidential,Refrigerated Warehouse,GREATER DUWAMISH,1971,1.0,1,76354,0.0,0.996444,0.003556,0.0,2843033.5,37.20000076,20.29,0.27
NonResidential,Warehouse,GREATER DUWAMISH,1956,1.0,1,98480,0.0,0.84877,0.15123,0.0,2831565.5,28.79999924,39.5,0.4
NonResidential,Mixed Use Property,LAKE UNION,1904,1.0,2,53002,0.0,0.748053,0.251947,0.0,3441643.25,64.40000153,64.0,1.21
NonResidential,Mixed Use Property,LAKE UNION,2008,1.0,3,175918,0.291147,0.534739,0.465261,0.0,22530168.0,232.3000031,640.71,3.64
NonResidential,Other,LAKE UNION,1920,1.0,3,169785,0.375663,0.691693,0.308307,0.0,19155416.0,180.6999969,406.02,2.39
NonResidential,Large Office,LAKE UNION,1971,1.0,11,124721,0.0,0.58065,0.41935,0.0,13898181.0,111.4000015,365.79,2.93
NonResidential,Small- and Mid-Sized Office,LAKE UNION,1970,1.0,7,94002,0.0,1.0,0.0,0.0,5662234.0,60.29999924,39.47,0.42
NonResidential,Warehouse,GREATER DUWAMISH,1974,1.0,1,93020,0.0,1.0,0.0,0.0,1252323.875,13.5,8.73,0.09
NonResidential,Other,DOWNTOWN,1946,1.0,1,23000,0.0,0.36652,0.633481,0.0,711118.375,30.89999962,25.74,1.12
NonResidential,Supermarket / Grocery Store,SOUTHEAST,2002,1.0,1,61053,0.0,0.645283,0.354717,0.0,13133225.0,241.3000031,306.5,5.02
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1904,1.0,5,78920,0.0,1.0,0.0,0.0,2830674.75,36.0,19.73,0.25
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1906,1.0,7,99440,0.0,0.709243,0.290757,0.0,6606832.5,74.30000305,134.69,1.35
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1907,1.0,6,73260,0.0,1.0,0.0,0.0,2853189.5,44.70000076,19.89,0.27
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,4,69817,0.0,0.571662,0.074316,0.354021,2178074.5,35.90000153,76.8,1.1
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,4,84750,0.0,0.881663,0.118337,0.0,2094724.625,29.79999924,26.04,0.31
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,75496,0.176433,1.0,0.0,0.0,3570161.75,59.29999924,24.89,0.33
NonResidential,Large Office,DOWNTOWN,1900,1.0,4,164380,0.0,0.809419,0.138392,0.052188,7655751.0,53.0,130.31,0.79
NonResidential,Large Office,DOWNTOWN,1907,1.0,7,160580,0.0,0.695099,0.224828,0.080072,4336187.5,27.0,99.59,0.62
Nonresidential COS,Other,DOWNTOWN,1906,1.0,3,67755,0.0,1.0,0.0,0.0,1904480.0,29.10000038,13.28,0.2
NonResidential,Mixed Use Property,GREATER DUWAMISH,1910,1.0,3,56700,0.0,0.862472,0.137528,0.0,2371575.0,41.79999924,31.58,0.56
NonResidential,Warehouse,GREATER DUWAMISH,1922,1.0,1,82852,0.0,0.4913,0.5087,0.0,2153603.5,26.29999924,65.56,0.79
NonResidential,Other,GREATER DUWAMISH,1953,1.0,2,76442,0.0,0.428679,0.571321,0.0,3978277.0,52.29999924,132.6,1.73
NonResidential,Distribution Center,GREATER DUWAMISH,1962,1.0,2,92792,0.0,0.641602,0.358398,0.0,3155496.0,31.89999962,74.18,0.8
NonResidential,Other,GREATER DUWAMISH,1941,2.0,2,125519,0.0,1.0,0.0,0.0,2244317.0,15.69999981,15.65,0.12
NonResidential,Large Office,GREATER DUWAMISH,1900,1.0,4,129000,0.2,1.0,0.0,0.0,4374646.0,41.70000076,30.5,0.24
NonResidential,Warehouse,GREATER DUWAMISH,1954,1.0,1,78814,0.0,0.736829,0.263171,0.0,861972.875,10.89999962,16.48,0.21
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1904,1.0,4,58970,0.0,0.648709,0.351291,0.0,1776411.75,30.39999962,41.18,0.7
NonResidential,Distribution Center,GREATER DUWAMISH,1910,1.0,6,75600,0.142857,1.0,0.0,0.0,2688675.75,43.70000076,18.74,0.25
NonResidential,Distribution Center,GREATER DUWAMISH,1907,1.0,4,56270,0.0,1.0,0.0,0.0,1056782.125,18.79999924,7.37,0.13
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1904,1.0,4,66842,0.0,0.616471,0.383529,0.0,5608600.5,104.5999985,138.35,2.07
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,6,75288,0.143449,0.99987,0.00013,0.0,2891605.0,44.09999847,20.18,0.27
NonResidential,Large Office,DOWNTOWN,1904,1.0,7,184322,0.0,1.0,0.0,0.0,9722890.0,52.70000076,67.78,0.37
NonResidential,Large Office,DOWNTOWN,2009,1.0,7,287853,0.0,0.996694,0.003306,0.0,25567108.0,89.40000153,182.14,0.63
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1914,1.0,2,64512,0.0,0.494649,0.505351,0.0,5968153.5,94.69999695,180.76,2.8
NonResidential,Mixed Use Property,GREATER DUWAMISH,2009,1.0,6,286000,0.390818,0.999795,0.000204,0.0,63835192.0,366.3999939,445.62,1.56
NonResidential,Warehouse,GREATER DUWAMISH,1926,1.0,7,144050,0.0,0.608195,0.391805,0.0,3929371.0,27.29999924,98.43,0.68
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1930,1.0,3,60592,0.0,0.948305,0.051695,0.0,5049446.5,83.59999847,47.25,0.78
NonResidential,Large Office,GREATER DUWAMISH,1912,0.0,6,1380959,0.0,0.91407,0.08593,0.0,74130576.0,49.29999924,810.7,0.59
NonResidential,Retail Store,GREATER DUWAMISH,1993,1.0,1,107930,0.0,0.8497,0.1503,0.0,7221482.5,67.0,100.42,0.93
NonResidential,Warehouse,GREATER DUWAMISH,1926,1.0,1,99084,0.0,0.491368,0.508632,0.0,1618110.375,16.29999924,49.25,0.5
NonResidential,Distribution Center,Delridge,1953,1.0,1,72719,0.0,0.792269,0.207731,0.0,2581741.75,35.5,42.74,0.59
NonResidential,Small- and Mid-Sized Office,EAST,1930,0.0,4,76624,0.0,0.89,0.11,0.0,2773647.5,36.20000076,33.41,0.44
NonResidential,Small- and Mid-Sized Office,NORTHEAST,2001,1.0,6,91706,0.398916,1.0,0.0,0.0,8570571.0,150.3000031,59.75,0.65
NonResidential,Medical Office,LAKE UNION,2008,1.0,5,129093,0.309095,0.613044,0.386956,0.0,19248732.0,203.1999969,477.85,3.7
NonResidential,Large Office,DELRIDGE,1991,1.0,5,138106,0.117453,1.0,0.0,0.0,8381834.5,70.40000153,58.43,0.42
NonResidential,Retail Store,GREATER DUWAMISH,1973,1.0,1,56572,0.0,0.545808,0.454192,0.0,2409429.0,42.59999847,67.29,1.19
NonResidential,Medical Office,EAST,2004,1.0,0,225982,0.0,0.619872,0.0,0.380128,20560622.0,102.6999969,692.12,3.06
NonResidential,Mixed Use Property,DOWNTOWN,2006,0.0,0,516407,0.0,0.746963,0.253037,0.0,39403320.0,76.30000305,734.72,1.42
NonResidential,Large Office,DOWNTOWN,2000,1.0,11,312512,0.0,0.995034,0.004966,0.0,25747022.0,82.40000153,185.39,0.59
NonResidential,Large Office,DOWNTOWN,2005,1.0,42,1592914,0.0,0.975664,0.006877,0.017459,56498868.0,45.29999924,481.06,0.3
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1926,1.0,6,97720,0.0,1.0,0.0,0.0,2478025.25,33.70000076,17.28,0.18
NonResidential,Medical Office,EAST,1985,1.0,10,422503,0.488943,0.942384,0.0,0.057616,17254810.0,87.40000153,190.1,0.45
NonResidential,Medical Office,CENTRAL,1987,1.0,7,94500,0.0,1.0,0.0,0.0,5792926.0,50.90000153,40.38,0.43
NonResidential,Retail Store,DELRIDGE,2005,0.0,1,94713,0.0,0.772095,0.227905,0.0,5417598.0,49.40000153,94.74,1.0
NonResidential,Medical Office,EAST,2008,1.0,9,302902,0.33457,0.95962,0.04038,0.0,14751117.0,73.30000305,130.32,0.43
NonResidential,Medical Office,EAST,1973,1.0,19,319911,0.488908,0.761475,0.0,0.238525,15067340.0,88.30000305,357.39,1.12
NonResidential,Large Office,DOWNTOWN,1900,1.0,6,205521,0.0,0.53154,0.214281,0.254179,8138616.5,56.70000076,282.46,1.37
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,56700,0.0,1.0,0.0,0.0,3065954.5,54.29999924,21.37,0.38
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1925,1.0,4,72000,0.0,0.964613,0.035387,0.0,2729167.75,37.90000153,23.48,0.33
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,4,191146,0.496437,1.0,0.0,0.0,5101504.5,49.5,35.56,0.19
NonResidential,Other,DELRIDGE,2001,1.0,3,68763,0.167634,0.40653,0.593469,0.0,9029489.0,180.6000061,310.19,4.51
NonResidential,Other,SOUTHEAST,1994,3.0,1,102133,0.0,0.596206,0.403794,0.0,20725996.0,192.8999939,530.62,5.2
NonResidential,Large Office,DOWNTOWN,2008,1.0,14,362046,0.0,0.989913,0.010087,0.0,15725581.0,66.59999847,116.95,0.32
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1994,3.0,2,81336,0.0,0.703597,0.296403,0.0,13085297.0,160.8000031,270.17,3.32
NonResidential,Large Office,DOWNTOWN,2001,1.0,23,538933,0.0,1.0,0.0,0.0,16020642.0,43.70000076,111.69,0.21
NonResidential,Other,DOWNTOWN,1983,1.0,6,275982,0.714286,1.0,0.0,0.0,5233553.5,66.40000153,36.49,0.13
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1982,1.0,5,98668,0.0,1.0,0.0,0.0,4391348.0,44.5,30.61,0.31
NonResidential,Large Office,GREATER DUWAMISH,2007,1.0,1,158931,0.178574,0.907052,0.092948,0.0,8751704.0,67.69999695,98.54,0.62
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1978,1.0,1,105100,0.0,0.799785,0.200215,0.0,22078064.0,210.1000061,357.86,3.4
NonResidential,Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,2008,1.0,1,57176,0.0,0.0,0.0,0.0,12525174.0,208.8000031,0.0,0.0
NonResidential,Retail Store,MAGNOLIA / QUEEN ANNE,1978,1.0,1,50660,0.0,0.656766,0.343234,0.0,2661488.0,52.5,60.7,1.2
NonResidential,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1937,1.0,2,61929,0.0,0.602832,0.397168,0.0,2203026.5,55.20000076,55.73,0.9
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,4,165111,0.333109,1.0,0.0,0.0,25478086.0,231.3999939,177.62,1.08
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1925,1.0,3,20565,0.0,0.999999,0.0,0.0,802312.5,39.0,5.59,0.27
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,5,159937,0.349957,1.0,0.0,0.0,7857972.5,73.80000305,54.78,0.34
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2008,1.0,5,183964,0.254196,1.0,0.0,0.0,14856199.0,108.3000031,103.57,0.56
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1986,1.0,5,208210,0.378695,0.69225,0.30775,0.0,5514308.5,50.09999847,116.74,0.56
NonResidential,Large Office,DOWNTOWN,1986,1.0,7,277486,0.289323,1.0,0.0,0.0,12729858.0,65.90000153,88.74,0.32
NonResidential,Large Office,DOWNTOWN,1993,1.0,3,187130,0.0,1.0,0.0,0.0,10053489.0,52.59999847,70.09,0.37
NonResidential,Large Office,DOWNTOWN,2000,1.0,5,251044,0.469507,1.0,0.0,0.0,17186624.0,123.6999969,119.81,0.48
NonResidential,Warehouse,DOWNTOWN,1912,1.0,5,154330,0.0,1.0,0.0,0.0,1262235.25,13.19999981,8.8,0.06
NonResidential,Large Office,DOWNTOWN,1918,1.0,6,108245,0.135711,0.941029,0.0,0.05897,4515180.5,45.79999924,50.17,0.46
NonResidential,Large Office,DOWNTOWN,1905,1.0,6,167860,0.0,1.0,0.0,0.0,6797647.0,52.0,47.39,0.28
NonResidential,Large Office,DOWNTOWN,1910,1.0,6,112560,0.0,0.722492,0.277508,0.0,4946798.5,51.29999924,97.82,0.87
NonResidential,Retail Store,DOWNTOWN,1910,1.0,6,86204,0.0,0.689684,0.310316,0.0,3241917.0,43.5,69.02,0.8
Nonresidential COS,Warehouse,GREATER DUWAMISH,1985,1.0,2,145158,0.0,0.842283,0.157717,0.0,8384523.0,52.29999924,119.46,0.82
NonResidential,Large Office,GREATER DUWAMISH,1951,1.0,2,112896,0.0,0.819324,0.180676,0.0,10287986.0,92.90000153,157.48,1.39
NonResidential,Distribution Center,GREATER DUWAMISH,1960,1.0,1,110613,0.0,1.0,0.0,0.0,1015060.188,9.199999809,7.08,0.06
NonResidential,Warehouse,GREATER DUWAMISH,1951,1.0,4,149881,0.0,0.29166,0.70834,0.0,2417401.25,16.10000038,95.86,0.64
NonResidential,Warehouse,GREATER DUWAMISH,1951,1.0,3,98220,0.0,0.898811,0.101189,0.0,6468090.0,50.0,75.29,0.77
NonResidential,Distribution Center,GREATER DUWAMISH,1970,1.0,1,84420,0.0,1.0,0.0,0.0,2848317.25,35.0,19.86,0.24
NonResidential,Distribution Center,GREATER DUWAMISH,1961,1.0,1,73335,0.0,0.501593,0.498407,0.0,5197118.0,70.90000153,155.74,2.12
NonResidential,Distribution Center,GREATER DUWAMISH,1928,1.0,2,56876,0.0,0.564422,0.435578,0.0,1791715.625,31.5,48.5,0.85
NonResidential,Warehouse,GREATER DUWAMISH,1931,1.0,2,61200,0.0,0.362958,0.637042,0.0,4912143.0,80.30000305,178.62,2.92
NonResidential,Distribution Center,GREATER DUWAMISH,1987,1.0,1,111908,0.0,0.675385,0.324615,0.0,1555420.25,14.30000019,34.14,0.31
NonResidential,Other,GREATER DUWAMISH,1986,3.0,2,63644,0.0,0.618603,0.381397,0.0,6858533.5,104.4000015,168.5,2.65
NonResidential,Mixed Use Property,GREATER DUWAMISH,1930,3.0,2,108753,0.173421,1.0,0.0,0.0,3639670.25,33.5,25.37,0.23
NonResidential,Supermarket / Grocery Store,NORTHWEST,1970,1.0,1,141890,0.250511,0.773855,0.226145,0.0,16865978.0,100.0,293.56,2.07
NonResidential,Small- and Mid-Sized Office,BALLARD,2001,1.0,4,92092,0.22863,1.0,0.0,0.0,4817062.0,68.69999695,33.58,0.36
NonResidential,Warehouse,MAGNOLIA / QUEEN ANNE,1974,0.0,3,56259,0.0,0.348465,0.651535,0.0,2346571.5,41.70000076,86.9,1.54
NonResidential,Other,NORTHEAST,2006,1.0,6,143439,0.0,0.550134,0.449866,0.0,25631512.0,214.3999939,710.7,4.95
NonResidential,Large Office,LAKE UNION,2008,1.0,4,202623,0.438524,1.0,0.0,0.0,8873485.0,79.5,61.86,0.31
NonResidential,Small- and Mid-Sized Office,LAKE UNION,2000,1.0,2,77174,0.334309,1.0,0.0,0.0,5481549.0,71.0,38.21,0.5
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1998,1.0,5,110524,0.0,1.0,0.0,0.0,6859198.0,63.90000153,47.82,0.43
NonResidential,Mixed Use Property,LAKE UNION,2008,1.0,5,287224,0.360868,0.827238,0.172762,0.0,21042926.0,139.8999939,314.43,1.09
NonResidential,Laboratory,LAKE UNION,1999,1.0,4,115748,0.158811,0.464184,0.535816,0.0,36436388.0,374.2000122,1154.79,9.98
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2000,1.0,7,241875,0.350135,0.980682,0.019318,0.0,8655604.0,53.09999847,68.06,0.28
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1974,1.0,5,102930,0.181871,0.85444,0.145559,0.0,4750799.0,53.29999924,65.03,0.63
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1902,1.0,3,76893,0.0,0.682422,0.317578,0.0,12029600.0,113.3000031,260.13,3.38
NonResidential,Large Office,DOWNTOWN,1975,1.0,8,150000,0.157533,0.872886,0.127114,0.0,9343428.0,73.80000305,119.93,0.8
NonResidential,Large Office,DOWNTOWN,1953,1.0,7,274362,0.0,0.957408,0.042592,0.0,16540550.0,60.29999924,147.82,0.54
NonResidential,Large Office,DOWNTOWN,1983,1.0,15,378002,0.307617,0.849716,0.150283,0.0,17750994.0,65.69999695,246.83,0.65
NonResidential,Large Office,DOWNTOWN,1963,1.0,11,169020,0.0,0.627978,0.120503,0.251519,11480494.0,65.59999847,346.62,2.05
NonResidential,Other,DOWNTOWN,1981,1.0,33,429405,0.0,0.999455,0.000545,0.0,274682208.0,639.7000122,1921.82,4.48
NonResidential,Large Office,DOWNTOWN,1985,1.0,76,1952220,0.163609,0.945278,0.054722,0.0,92937640.0,55.29999924,882.56,0.45
NonResidential,Large Office,DOWNTOWN,1981,1.0,19,383515,0.234093,1.0,0.0,0.0,15878689.0,47.90000153,110.7,0.29
NonResidential,Medical Office,DOWNTOWN,1925,1.0,18,363934,0.079328,0.72394,0.000542,0.275518,22104512.0,72.90000153,582.28,1.6
NonResidential,Retail Store,DOWNTOWN,1929,1.0,4,78920,0.0,0.864359,0.135641,0.0,8303666.5,105.1999969,109.85,1.39
NonResidential,Large Office,DOWNTOWN,1979,1.0,7,131143,0.664618,0.940868,0.273511,0.0,5177270.5,39.5,109.16,0.83
NonResidential,Other,DOWNTOWN,1999,1.0,0,947987,0.0,1.0,0.0,0.0,46510960.0,62.29999924,324.25,0.34
NonResidential,Mixed Use Property,EAST,1908,1.0,4,55520,0.0,0.264149,0.735851,0.0,3686962.25,66.40000153,150.88,2.72
NonResidential,Large Office,DOWNTOWN,1908,1.0,10,132998,0.0,0.594542,0.0,0.405458,3775187.5,27.29999924,133.8,1.01
NonResidential,Retail Store,DOWNTOWN,1940,1.0,3,83118,0.0,0.904335,0.095665,0.0,2443141.5,54.29999924,27.82,0.33
NonResidential,Retail Store,DOWNTOWN,1924,1.0,3,77555,0.0,0.99998,2e-05,0.0,7802205.5,106.0999985,54.4,0.7
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,6,51218,0.0,1.0,0.0,0.0,2886141.5,55.5,20.12,0.39
NonResidential,Large Office,DOWNTOWN,1970,1.0,29,489182,0.0,0.897062,0.102938,0.0,36378588.0,93.80000305,426.39,0.87
NonResidential,Large Office,DOWNTOWN,1929,1.0,27,216571,0.061504,0.535807,0.007845,0.456348,16246106.0,86.0,639.72,2.95
NonResidential,Large Office,DOWNTOWN,1921,1.0,13,189175,0.0,1.0,0.0,0.0,19036416.0,115.8000031,132.71,0.7
NonResidential,Large Office,DOWNTOWN,1998,1.0,13,293803,0.253507,1.0,0.0,0.0,17074142.0,117.4000015,119.03,0.41
NonResidential,Large Office,DOWNTOWN,1910,1.0,7,122356,0.0,0.953489,0.046511,0.0,4585070.5,41.09999847,41.8,0.34
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1921,1.0,3,52298,0.0,1.0,0.0,0.0,1968655.125,39.20000076,13.72,0.26
NonResidential,Large Office,DOWNTOWN,1911,1.0,17,116640,0.0,0.743044,0.0,0.256956,6758565.5,70.30000305,169.06,1.45
NonResidential,Large Office,DOWNTOWN,1981,1.0,42,1249055,0.161019,1.0,0.0,0.0,37980712.0,38.0,264.78,0.21
NonResidential,Medical Office,EAST,1988,1.0,5,188339,0.527315,0.923742,0.076258,0.0,8523594.0,104.0999985,89.41,0.47
NonResidential,University,CENTRAL,1916,1.0,2,60122,0.0,0.858803,0.141196,0.0,690529.5,11.5,9.31,0.15
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,6,95000,0.144211,0.983002,0.016998,0.0,4052720.0,48.0,31.43,0.33
NonResidential,Large Office,DOWNTOWN,1971,1.0,9,224857,0.0,0.734982,0.0,0.265018,15272491.0,74.5,390.67,1.74
NonResidential,Large Office,DOWNTOWN,1998,1.0,8,446261,0.27963,1.0,0.0,0.0,13568148.0,39.5,94.59,0.21
NonResidential,Other,GREATER DUWAMISH,1939,1.0,2,58492,0.0,0.450198,0.549802,0.0,1594422.5,27.29999924,51.56,0.88
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1907,1.0,6,62370,0.0,1.0,0.0,0.0,4353025.0,72.69999695,30.35,0.49
NonResidential,Warehouse,GREATER DUWAMISH,1960,1.0,1,73296,0.0,0.474278,0.525722,0.0,2356376.75,30.29999924,73.58,1.0
Nonresidential COS,Other,GREATER DUWAMISH,1944,1.0,4,99122,0.0,0.882295,0.117705,0.0,14469228.0,146.0,179.45,1.81
NonResidential,Other,GREATER DUWAMISH,1985,1.0,1,66133,0.0,0.843879,0.156121,0.0,6345009.5,82.40000153,89.94,1.36
NonResidential,Warehouse,GREATER DUWAMISH,1952,1.0,2,115668,0.0,0.469047,0.530953,0.0,3534690.75,30.79999924,111.23,0.96
NonResidential,Other,GREATER DUWAMISH,1970,1.0,1,141686,0.0,1.0,0.0,0.0,6673138.0,43.79999924,46.52,0.33
NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,1950,1.0,1,93610,0.0,0.621839,0.378161,0.0,6235947.0,61.29999924,152.28,1.63
NonResidential,Large Office,GREATER DUWAMISH,1973,1.0,2,156188,0.0,0.958156,0.041844,0.0,6843855.0,48.20000076,60.92,0.39
NonResidential,Warehouse,GREATER DUWAMISH,1966,1.0,1,115620,0.0,1.0,0.0,0.0,1951856.25,34.29999924,13.61,0.12
NonResidential,Large Office,GREATER DUWAMISH,1975,1.0,5,238148,0.0,1.0,0.0,0.0,10775646.0,43.90000153,75.12,0.32
NonResidential,Distribution Center,GREATER DUWAMISH,1969,1.0,1,71718,0.0,0.999998,0.0,0.0,151754.2969,2.099999905,1.06,0.01
NonResidential,Warehouse,GREATER DUWAMISH,1969,1.0,1,55450,0.0,0.494557,0.505443,0.0,4345698.0,78.40000153,131.64,2.37
NonResidential,Distribution Center,GREATER DUWAMISH,1979,1.0,1,54880,0.0,0.448976,0.551024,0.0,2763597.0,50.20000076,89.53,1.63
NonResidential,Retail Store,DELRIDGE,1992,1.0,1,102500,0.0,0.680705,0.319295,0.0,7305474.0,73.40000153,158.55,1.55
NonResidential,Other,NORTHEAST,2002,1.0,6,361398,0.755123,0.859578,0.140422,0.0,8915523.0,108.5,119.92,0.33
NonResidential,Supermarket / Grocery Store,GREATER DUWAMISH,1963,1.0,1,50785,0.0,0.581707,0.418293,0.0,7439009.0,271.7000122,195.43,3.85
NonResidential,Small- and Mid-Sized Office,Delridge,1929,1.0,3,85126,0.0,0.490361,0.018053,0.0,37951708.0,465.5,166.13,1.95
NonResidential,Other,North,2000,1.0,5,303255,0.065358,0.95712,0.04288,0.0,11077140.0,36.5,99.14,0.33
NonResidential,Distribution Center,GREATER DUWAMISH,1986,1.0,1,411584,0.0,0.497091,0.502909,0.0,15091579.0,37.0,455.39,1.11
NonResidential,Mixed Use Property,DOWNTOWN,1902,1.0,4,73320,0.0,0.597343,0.402657,0.0,1141189.75,20.0,29.16,0.4
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2008,1.0,4,242686,0.41278,1.0,0.0,0.0,9683979.0,65.0,67.51,0.28
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,95760,0.165414,0.851879,0.148121,0.0,5392617.5,56.29999924,74.45,0.78
NonResidential,Warehouse,GREATER DUWAMISH,1946,1.0,1,179413,0.0,1.0,0.0,0.0,3459543.0,19.39999962,24.12,0.13
NonResidential,Warehouse,GREATER DUWAMISH,1917,0.0,1,65288,0.0,1.0,0.0,0.0,605971.1875,8.600000381,4.22,0.06
NonResidential,Warehouse,Delridge,1966,1.0,1,170632,0.0,1.0,0.0,0.0,602245.0,3.5,4.2,0.02
NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1994,1.0,10,381511,0.0,0.949517,0.050483,0.0,11410228.0,51.90000153,106.12,0.28
NonResidential,Large Office,DOWNTOWN,2009,1.0,17,413264,0.334164,1.0,0.0,0.0,13631141.0,46.09999847,95.03,0.23
NonResidential,Mixed Use Property,NORTHEAST,2009,1.0,6,122400,0.443627,0.797462,0.202538,0.0,4865551.5,68.30000305,79.39,0.65
NonResidential,Retail Store,NORTHEAST,1956,1.0,2,93803,0.0,0.712273,0.287727,0.0,5453438.5,58.79999924,110.41,1.18
NonResidential,Warehouse,GREATER DUWAMISH,1966,1.0,2,123000,0.0,1.0,0.0,0.0,3004271.0,21.89999962,20.94,0.17
NonResidential,Medical Office,EAST,2003,1.0,5,275130,0.410642,1.0,0.0,0.0,9941308.0,55.90000153,69.3,0.25
NonResidential,Warehouse,GREATER DUWAMISH,1978,1.0,1,60448,0.0,0.590027,0.409973,0.0,1052244.75,17.39999962,27.24,0.45
NonResidential,Hospital,EAST,1994,7.0,14,1765970,0.0,0.477874,0.05938,0.462746,291614432.0,177.8999939,12307.16,6.97
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1928,3.0,4,62600,0.0,0.361622,0.638378,0.0,11147342.0,51.79999924,406.04,6.49
NonResidential,Mixed Use Property,EAST,2004,1.0,4,77412,0.279182,0.980943,0.019057,0.0,2655387.5,58.20000076,20.85,0.27
NonResidential,Medical Office,EAST,1990,1.0,5,289419,0.549919,0.923823,0.076177,0.0,12731388.0,87.09999847,133.5,0.46
NonResidential,Other,NORTH,1987,1.0,5,90266,0.0,1.0,0.0,0.0,7771933.5,88.80000305,54.18,0.6
NonResidential,Warehouse,Ballard,2004,1.0,4,87332,0.073948,0.881649,0.118351,0.0,1165598.875,13.30000019,14.49,0.17
NonResidential,Hotel,EAST,2003,1.0,6,150545,0.33224,0.417709,0.582291,0.0,13410041.0,133.3999939,453.76,3.01
NonResidential,Other,MAGNOLIA / QUEEN ANNE,1999,1.0,5,141718,0.0,0.763585,0.236415,0.0,19085174.0,136.3000031,341.23,2.41
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,2008,1.0,5,111856,0.190182,0.510906,0.489094,0.0,9444484.0,98.40000153,278.97,2.49
NonResidential,Warehouse,EAST,1988,1.0,4,132828,0.0,0.999999,0.0,0.0,1083729.625,8.199999809,7.56,0.06
NonResidential,Warehouse,DELRIDGE,1970,1.0,1,70400,0.0,0.710246,0.289754,0.0,13962749.0,198.3000031,284.01,4.03
NonResidential,Retail Store,NORTHWEST,1995,1.0,1,101830,0.0,0.554034,0.445966,0.0,10713006.0,81.90000153,295.12,2.9
NonResidential,University,CENTRAL,1974,2.0,4,114000,0.0,0.837194,0.162805,0.0,7575080.0,66.40000153,109.71,0.96
SPS-District K-12,Other,GREATER DUWAMISH,2002,1.0,3,338063,0.0,0.879085,0.120915,0.0,20675922.0,61.20000076,259.49,0.77
NonResidential,Warehouse,SOUTHWEST,1965,1.0,1,152365,0.0,0.886382,0.113618,0.0,1069749.75,6.800000191,13.07,0.09
NonResidential,Medical Office,CENTRAL,1910,1.0,6,320946,0.0,0.989548,0.010452,0.0,25471308.0,78.90000153,189.85,0.59
NonResidential,Retail Store,GREATER DUWAMISH,1958,1.0,1,74178,0.0,0.610184,0.389816,0.0,5402181.0,72.80000305,134.82,1.82
NonResidential,Warehouse,NORTH,1987,1.0,4,80360,0.0,0.637036,0.362964,0.0,686019.1875,8.5,16.27,0.2
